chapter,name,chapter_order,chapter_id,topic_id
What is Linear Algebra?,What Is Linear Algebra,1,1,1
Systems of Linear Equations ,Gaussian Elimination,1,2,2
Systems of Linear Equations ,Elementary Row Operations,2,2,3
Systems of Linear Equations ,Solution Sets For Systems Of Linear Equations,3,2,4
The Simplex Method,Simplex,1,3,5
Vectors,Vectors In Space N Vectors,1,4,6
Vectors,Vector Spaces,2,4,7
Linear Transformations,Linear Transformations,1,5,8
Matrices ,Matrices,1,6,9
Matrices ,Properties Of Matrices,2,6,10
Matrices ,Inverse Matrix,3,6,11
Matrices ,Lu Decomposition,4,6,12
Determinants ,Elementary Matrices Determinants,1,7,13
Determinants ,Properties Of Determinant,2,7,14
Determinants ,Elementary Matrices Determinants Ii,3,7,15
Subspaces and Spanning Sets,Subspaces And Spanning Sets,1,8,16
Linear Independence,Linear Independence,1,9,17
Basis and Dimension,Basis And Dimension,1,10,18
Eigenvalues and Eigenvectors ,Eigenvalues And Eigenvectors,1,11,19
Eigenvalues and Eigenvectors ,Eigenvalues And Eigenvectors Ii,2,11,20
Diagonalization,Diagonalization,1,12,21
Orthonormal Bases and Complements ,Orthonormal Bases,1,13,22
Orthonormal Bases and Complements ,Gram Schmidt And Orthogonal Complements,2,13,23
Diagonalizing Symmetric Matrices,Diagonalizing Symmetric Matrices,1,14,24
"Kernel, Range, Nullity, Rank",Kernel Range Nullity Rank,1,15,25
Least Squares and Singular Values,Least Squares,1,16,26
